entry_id,category,speech_rate_wpm,pause_ratio,avg_pause_length_sec,pitch_mean_hz,pitch_variability,loudness_mean,loudness_variability,text_snippet
1,healthy,154.0,0.1156,0.6322,133.3,14.1,0.0395,0.0172,Went for a morning run and felt energized throughout the day.
2,healthy,175.1,0.1052,0.4319,95.5,21.8,0.0339,0.0189,Had a great conversation with my sister. We laughed about old memories.
3,healthy,160.1,0.1622,0.3358,155.6,21.3,0.0485,0.0167,Finished a project at work ahead of schedule. Feeling accomplished.
4,healthy,185.4,0.0866,0.3348,145.4,13.4,0.0704,0.023,Cooked a new recipe tonight. It turned out better than expected.
5,healthy,151.3,0.1772,0.5478,202.7,30.9,0.0503,0.0207,Spent the afternoon reading in the park. The weather was perfect.
6,healthy,142.9,0.1173,0.6905,175.9,23.5,0.0422,0.0195,Called an old friend we caught up for over an hour. Felt really good.
7,healthy,137.5,0.1228,0.3735,195.7,42.6,0.0827,0.0209,Went to the gym and hit a new personal record on my squat.
8,healthy,131.7,0.1008,0.3761,152.0,36.8,0.0652,0.0171,Took my dog for a long walk along the river. Fresh air did wonders.
9,healthy,164.6,0.0477,0.4413,123.7,35.9,0.07,0.0279,Had a productive meeting at work. My ideas were well received.
10,healthy,153.5,0.1352,0.4638,209.9,28.1,0.0744,0.0101,Started a new book before bed. Looking forward to continuing tomorrow.
11,healthy,136.3,0.144,0.342,219.9,25.6,0.0611,0.0197,Made time for meditation this morning. Feeling centered and calm.
12,healthy,144.7,0.1197,0.4042,130.2,32.4,0.0543,0.0274,Went out for brunch with friends. The food and conversation were great.
13,healthy,140.4,0.0998,0.5817,136.3,29.6,0.0617,0.0216,Completed my weekly meal prep. Feeling organized and ready for the week.
14,healthy,174.4,0.1425,0.1706,198.8,20.0,0.0895,0.0115,Took a different route on my commute and discovered a nice cafe.
15,healthy,164.6,0.0772,0.4717,144.2,26.5,0.0634,0.0155,Had a really good night's sleep. Woke up before my alarm feeling rested.
16,healthy,143.4,0.1039,0.4314,208.3,12.1,0.0678,0.0306,Finished a painting I've been working on for weeks. Proud of the result.
17,healthy,154.9,0.1022,0.5337,235.4,34.0,0.0748,0.0185,Went to a yoga class after work. My body feels limber and relaxed.
18,healthy,147.9,0.1208,-0.0056,140.2,22.5,0.0546,0.0167,Spent the evening playing board games with my family. Lots of laughs.
