text,timestamp,sleep_hours,sleep_quality,activity_level,music_mood_score
Started the day with a clear head. Had coffee with a friend and it was nice to catch up. Feeling a bit more optimistic lately.,2025-12-22 08:12:25,1.0,0.7,0.77,0.57
"Nothing dramatic happened, just a solid day. Did some stretching and felt looser afterward. Small stuff, but it added up to a good day. Called a family member just to talk.",2025-12-23 17:51:04,1.0,1.0,1.0,0.63
"Had some energy back today. Went for a run before work and it helped a lot. Small stuff, but it added up to a good day. Read for a while before bed.",2025-12-24 07:37:03,1.0,0.99,0.79,0.59
"Today turned out better than expected. Did some stretching and felt looser afterward. Felt present for most of the day, which was nice. Went for a run before work and it helped a lot.",2025-12-25 08:26:29,1.0,,0.72,0.61
"Things clicked into place today. Tried a new recipe and it actually worked out. I'll take a quiet, ordinary day like this.",2025-12-26 20:36:38,1.0,0.7,0.79,0.6
Started the day with a clear head. Read for a while before bed.,2025-12-27 19:49:27,1.0,0.59,0.76,0.68
"Kept to my usual routine. Spent a lot of the day just tired. Just tired, nothing more to it.",2025-12-28 17:21:13,1.0,0.54,0.56,0.35
"Nothing dramatic happened, just a solid day. Cleaned up my space and it felt good. Went for a run before work and it helped a lot.",2025-12-29 17:16:28,1.0,1.0,0.58,0.92
"It was a calm, steady kind of day. Read for a while before bed. Small stuff, but it added up to a good day.",2025-12-30 07:40:28,1.0,0.74,0.71,0.63
"Nothing dramatic happened, just a solid day. Went for a run before work and it helped a lot.",2025-12-31 06:27:31,1.0,0.75,1.0,0.66
"It was a calm, steady kind of day. Spent some time outside during lunch.",2026-01-01 17:37:02,1.0,0.71,0.67,0.62
Kept to my usual routine. Spent a lot of the day just tired.,2026-01-02 21:16:48,1.0,,0.36,0.64
"Today was fine, just fine. Ran a few errands and otherwise stayed in. Answered a few messages, ignored the rest.",2026-01-03 19:33:09,1.0,0.7,0.4,0.66
"Woke up feeling pretty rested. Finished a project I'd been putting off. Felt present for most of the day, which was nice. Cleaned up my space and it felt good.",2026-01-04 12:15:30,1.0,0.58,0.6,0.5
Woke up feeling pretty rested. Read for a while before bed. It's nice when things just feel normal.,2026-01-05 17:15:32,1.0,0.67,0.67,0.7
"Nothing dramatic happened, just a solid day. Had coffee with a friend and it was nice to catch up. Small stuff, but it added up to a good day.",2026-01-06 08:35:15,1.0,0.67,0.59,0.55
"Nothing dramatic happened, just a solid day. Finished a project I'd been putting off. Felt present for most of the day, which was nice.",2026-01-07 17:28:27,1.0,0.7,0.83,0.76
Felt lighter than usual today. Spent some time outside during lunch. Hoping tomorrow goes about the same.,2026-01-08 19:37:06,1.0,0.93,1.0,0.74
"Had some energy back today. Finished a project I'd been putting off. Nothing special, just steady and fine.",2026-01-09 07:44:19,1.0,,0.93,0.79
"Had some energy back today. Tried a new recipe and it actually worked out. I'll take a quiet, ordinary day like this. Cooked something new for dinner and enjoyed it.",2026-01-10 16:28:33,1.0,0.89,0.67,0.89
"Felt more like myself today. Took a long walk after dinner. I'll take a quiet, ordinary day like this. Tried a new recipe and it actually worked out.",2026-01-11 19:51:24,1.0,0.68,0.64,0.62
"Today felt manageable, even good. Cooked something new for dinner and enjoyed it.",2026-01-12 06:41:53,1.0,0.93,0.94,0.64
"It was a calm, steady kind of day. Went for a run before work and it helped a lot.",2026-01-13 20:15:45,1.0,0.76,0.7,0.85
Started the day with a clear head. Took a long walk after dinner.,2026-01-14 06:26:48,1.0,0.84,0.97,0.87
"Nothing dramatic happened, just a solid day. Finished a project I'd been putting off. Small stuff, but it added up to a good day.",2026-01-15 20:58:09,1.0,0.89,0.8,0.7
Started the day with a clear head. Tried a new recipe and it actually worked out. Grateful for a day that didn't feel heavy.,2026-01-16 07:19:41,1.0,0.78,0.92,0.78
Today turned out better than expected. Got some good work done at my own pace. Grateful for a day that didn't feel heavy.,2026-01-17 23:38:32,1.0,0.74,0.94,0.97
Started the day with a clear head. Took a long walk after dinner. Grateful for a day that didn't feel heavy.,2026-01-18 20:58:21,1.0,0.91,0.88,0.8
"Nothing dramatic happened, just a solid day. Read for a while before bed. Nothing special, just steady and fine.",2026-01-19 06:42:59,1.0,0.75,0.95,0.9
"Started the day with a clear head. Got through my to-do list without much stress. Felt present for most of the day, which was nice.",2026-01-20 22:08:40,1.0,0.64,0.62,0.81
Felt lighter than usual today. Called a family member just to talk. It's nice when things just feel normal.,2026-01-21 22:06:56,1.0,0.9,0.77,0.66
"Had some energy back today. Tried a new recipe and it actually worked out. Felt present for most of the day, which was nice. Tried a new recipe and it actually worked out.",2026-01-22 17:02:34,1.0,0.84,0.65,0.68
"It was a calm, steady kind of day. Read for a while before bed. Felt present for most of the day, which was nice. Went to the gym and pushed through a solid session.",2026-01-23 08:06:42,1.0,0.76,0.54,0.76
"Felt a bit flat today but functional. Answered a few messages, ignored the rest.",2026-01-24 08:54:54,1.0,0.63,0.47,0.44
Felt lighter than usual today. Had coffee with a friend and it was nice to catch up. Did some stretching and felt looser afterward.,2026-01-25 11:21:19,1.0,0.66,0.64,0.47
"Felt more like myself today. Called a family member just to talk. Felt present for most of the day, which was nice.",2026-01-26 20:02:53,1.0,0.88,0.64,0.56
"Had some energy back today. Called a family member just to talk. Nothing special, just steady and fine. Got through my to-do list without much stress.",2026-01-27 08:52:44,1.0,0.72,0.82,0.59
"It was a calm, steady kind of day. Took a long walk after dinner. I'll take a quiet, ordinary day like this.",2026-01-28 18:21:12,1.0,0.86,0.84,0.64
"Things clicked into place today. Spent some time outside during lunch. Felt present for most of the day, which was nice. Cleaned up my space and it felt good.",2026-01-29 17:22:39,1.0,0.67,0.7,0.43
"Today felt manageable, even good. Read for a while before bed. Grateful for a day that didn't feel heavy.",2026-01-30 07:08:15,1.0,0.98,0.66,0.73
Had some energy back today. Called a family member just to talk. Hoping tomorrow goes about the same.,2026-01-31 10:35:58,1.0,1.0,0.78,0.83
"Felt more like myself today. Cooked something new for dinner and enjoyed it. I'll take a quiet, ordinary day like this.",2026-02-01 10:29:02,1.0,0.95,0.75,0.88
"It was a calm, steady kind of day. Cooked something new for dinner and enjoyed it. Grateful for a day that didn't feel heavy.",2026-02-02 08:33:24,1.0,,0.78,0.85
Woke up feeling pretty rested. Called a family member just to talk. Hoping tomorrow goes about the same. Read for a while before bed.,2026-02-03 21:38:06,1.0,0.81,0.91,0.59
Had some energy back today. Finished a project I'd been putting off. Hoping tomorrow goes about the same.,2026-02-04 20:07:36,1.0,0.86,0.77,0.62
"Woke up feeling pretty rested. Read for a while before bed. I'll take a quiet, ordinary day like this.",2026-02-05 18:56:37,1.0,0.89,0.67,0.51
"Woke up feeling pretty rested. Had coffee with a friend and it was nice to catch up. Nothing special, just steady and fine.",2026-02-06 17:56:04,1.0,0.75,0.81,0.51
"Felt lighter than usual today. Went to the gym and pushed through a solid session. I'll take a quiet, ordinary day like this.",2026-02-07 11:56:34,1.0,0.82,0.66,0.65
"Woke up in a decent mood. Took a long walk after dinner. Small stuff, but it added up to a good day. Tried a new recipe and it actually worked out.",2026-02-08 09:19:01,1.0,0.73,0.6,0.73
Had some energy back today. Finished a project I'd been putting off. It's nice when things just feel normal.,2026-02-09 19:53:54,1.0,0.86,0.78,0.81
"Things clicked into place today. Took a long walk after dinner. Small stuff, but it added up to a good day. Tried a new recipe and it actually worked out.",2026-02-10 19:57:17,1.0,,0.8,0.56
"It was a calm, steady kind of day. Tried a new recipe and it actually worked out. Grateful for a day that didn't feel heavy.",2026-02-11 17:32:42,1.0,0.97,0.82,0.66
Felt more like myself today. Got some good work done at my own pace. It's nice when things just feel normal.,2026-02-12 07:29:04,1.0,0.86,0.77,0.61
"Had some energy back today. Read for a while before bed. Nothing special, just steady and fine.",2026-02-13 17:11:17,1.0,0.9,0.63,0.67
"Felt lighter than usual today. Read for a while before bed. Small stuff, but it added up to a good day. Cooked something new for dinner and enjoyed it.",2026-02-14 19:20:42,1.0,0.6,0.61,0.85
"Had some energy back today. Got some good work done at my own pace. Small stuff, but it added up to a good day.",2026-02-15 21:15:42,1.0,0.99,0.94,0.79
Had some energy back today. Read for a while before bed. It's nice when things just feel normal.,2026-02-16 06:36:28,1.0,0.8,0.82,0.61
Today turned out better than expected. Finished a project I'd been putting off. Grateful for a day that didn't feel heavy.,2026-02-17 22:37:50,1.0,,0.83,0.92
Felt lighter than usual today. Had coffee with a friend and it was nice to catch up. Spent some time outside during lunch.,2026-02-18 22:10:24,1.0,0.94,0.94,0.87
Felt more like myself today. Had coffee with a friend and it was nice to catch up. Grateful for a day that didn't feel heavy.,2026-02-19 08:31:48,1.0,0.72,0.64,0.47
Woke up in a decent mood. Cooked something new for dinner and enjoyed it. Grateful for a day that didn't feel heavy.,2026-02-20 07:02:43,1.0,0.8,0.45,0.57
Felt lighter than usual today. Got some good work done at my own pace. Spent some time outside during lunch.,2026-02-21 14:02:10,1.0,0.83,0.65,0.43
"It was a calm, steady kind of day. Called a family member just to talk. Small stuff, but it added up to a good day.",2026-02-22 20:50:03,1.0,0.75,0.72,0.65
"Today was fine, just fine. Spent a lot of the day just tired. Hoping to have more energy tomorrow. Ate later than I should have.",2026-02-23 08:55:31,1.0,0.51,0.43,0.51
Started the day with a clear head. Read for a while before bed. Hoping tomorrow goes about the same.,2026-02-24 17:17:06,1.0,0.55,0.71,0.61
Things clicked into place today. Got through my to-do list without much stress. Grateful for a day that didn't feel heavy.,2026-02-25 20:20:16,1.0,0.57,0.51,0.71
"Today felt manageable, even good. Did some stretching and felt looser afterward. Small stuff, but it added up to a good day.",2026-02-26 08:33:45,1.0,0.81,0.68,0.67
"Low-key day, didn't do much. Went through the motions at work. Hoping to have more energy tomorrow.",2026-02-27 17:06:18,1.0,0.48,0.48,0.42
"Not a bad day, not a great one either. Skipped my usual walk, wasn't feeling it. Ran a few errands and otherwise stayed in.",2026-02-28 14:35:44,1.0,0.67,0.52,0.45
"Not a bad day, not a great one either. Did the minimum I needed to at work. Hoping to have more energy tomorrow. Went through the motions at work.",2026-03-01 13:59:25,1.0,0.48,0.43,0.33
"Today was fine, just fine. Answered a few messages, ignored the rest. Just tired, nothing more to it.",2026-03-02 18:44:58,1.0,0.57,0.65,0.73
Pretty average day overall. Spent a lot of the day just tired. Not sure what to make of today.,2026-03-03 06:02:22,1.0,0.5,0.36,0.49
Things clicked into place today. Finished a project I'd been putting off. Went to the gym and pushed through a solid session.,2026-03-04 07:40:03,1.0,0.61,0.69,0.64
Woke up in a decent mood. Read for a while before bed. Hoping tomorrow goes about the same.,2026-03-05 18:19:31,1.0,0.57,0.67,0.59
Hard to find any motivation today. Sat with the same thoughts on repeat for hours. Not sure how much longer I can keep pushing through this. Spent most of the day in bed.,2026-03-06 22:05:39,1.0,0.14,0.69,0.14
"Today felt manageable, even good. Went to the gym and pushed through a solid session. I'll take a quiet, ordinary day like this. Went for a run before work and it helped a lot.",2026-03-07 23:51:36,1.0,0.6,0.61,0.61
Felt more like myself today. Finished a project I'd been putting off. Hoping tomorrow goes about the same. Tried a new recipe and it actually worked out.,2026-03-08 10:52:06,1.0,0.83,0.88,0.74
"Felt lighter than usual today. Spent some time outside during lunch. Nothing special, just steady and fine.",2026-03-09 20:16:45,1.0,0.69,0.39,0.62
"Hard to describe today, just okay I guess. Skipped my usual walk, wasn't feeling it.",2026-03-10 18:51:10,1.0,0.62,0.39,0.48
Kept to my usual routine. Kept mostly to myself today. Feels like I'm just getting through the days lately.,2026-03-11 18:26:16,1.0,0.4,0.52,0.31
Felt a bit flat today but functional. Spent a lot of the day just tired.,2026-03-12 19:57:01,1.0,0.53,0.35,0.17
"Low-key day, didn't do much. Answered a few messages, ignored the rest. Just tired, nothing more to it.",2026-03-13 20:43:44,1.0,0.61,0.58,0.38
"Today was fine, just fine. Ate later than I should have. Hoping to have more energy tomorrow.",2026-03-14 08:17:36,1.0,0.47,0.52,0.6
Wasn't feeling especially motivated today. Watched something on my laptop to unwind. Hoping to have more energy tomorrow.,2026-03-15 17:42:05,1.0,,0.39,0.31
Pretty average day overall. Watched something on my laptop to unwind. Hoping to have more energy tomorrow.,2026-03-16 22:39:42,1.0,0.46,0.55,0.27
Wasn't feeling especially motivated today. Went through the motions at work. Hoping to have more energy tomorrow. Went through the motions at work.,2026-03-17 07:43:04,1.0,0.59,0.64,0.57
"Hard to describe today, just okay I guess. Skipped my usual walk, wasn't feeling it. Not sure what to make of today.",2026-03-18 21:25:19,1.0,,0.36,0.41
"Low-key day, didn't do much. Did the minimum I needed to at work. Feels like I'm just getting through the days lately.",2026-03-19 18:51:23,1.0,0.41,0.62,0.25
"Same as most days lately. Skipped my usual walk, wasn't feeling it. Hoping to have more energy tomorrow. Skipped my usual walk, wasn't feeling it.",2026-03-20 19:06:09,1.0,0.37,0.33,0.26
"Didn't sleep well again, mind wouldn't quiet down. Didn't answer any calls or messages. Everything feels heavier than it should. Cancelled plans because I couldn't face people.",2026-03-21 18:04:48,1.0,0.24,0.2,0.15
Wasn't feeling especially motivated today. Did the minimum I needed to at work.,2026-03-22 18:56:11,1.0,0.55,0.3,0.31
"Not a bad day, not a great one either. Ate later than I should have. Not sure what to make of today. Spent a lot of the day just tired.",2026-03-23 07:07:53,1.0,0.29,0.51,0.25
Same as most days lately. Spent a lot of the day just tired.,2026-03-24 18:37:02,1.0,0.43,0.42,0.44
"Wasn't feeling especially motivated today. Ran a few errands and otherwise stayed in. Hoping to have more energy tomorrow. Answered a few messages, ignored the rest.",2026-03-25 21:07:14,1.0,0.26,0.37,0.24
"Didn't sleep well again, mind wouldn't quiet down. Skipped work again, couldn't bring myself to go. Barely ate anything today, no appetite.",2026-03-26 22:00:55,1.0,0.29,0.0,0.28
Today was a struggle from the start. Spent most of the day in bed. Tired of feeling like this every day. Spent most of the day in bed.,2026-03-27 22:57:04,1.0,0.03,0.11,0.0
"Didn't sleep well again, mind wouldn't quiet down. Didn't answer any calls or messages. Just want this feeling to stop for a while. Cancelled plans because I couldn't face people.",2026-03-28 22:57:31,1.0,0.21,0.12,0.0
"Couldn't shake a heavy feeling all day. Barely ate anything today, no appetite. Didn't answer any calls or messages.",2026-03-29 16:42:38,1.0,,0.05,0.22
Everything felt like more effort than usual today. Spent most of the day in bed. Just want this feeling to stop for a while.,2026-03-30 06:04:44,1.0,0.22,0.1,0.18
Everything felt like more effort than usual today. Didn't answer any calls or messages.,2026-03-31 07:22:32,1.0,0.0,0.04,0.0
Today was a struggle from the start. Spent most of the day in bed. Tired of feeling like this every day.,2026-04-01 20:38:14,1.0,0.24,0.05,0.18
"Felt disconnected from everything today. Barely ate anything today, no appetite. Everything feels heavier than it should.",2026-04-02 08:37:57,1.0,0.0,0.07,0.0
"Woke up already exhausted. Tried to distract myself but nothing worked. Tired of feeling like this every day. Barely ate anything today, no appetite.",2026-04-03 19:01:46,1.0,0.21,0.13,0.1
Mind kept circling the same worries all day. Didn't answer any calls or messages.,2026-04-04 15:01:50,1.0,0.27,0.21,0.13
Today was a struggle from the start. Tried to distract myself but nothing worked. Couldn't focus on anything for more than a few minutes.,2026-04-05 14:31:23,1.0,0.39,0.06,0.25
"Didn't sleep well again, mind wouldn't quiet down. Couldn't focus on anything for more than a few minutes. Tired of feeling like this every day. Barely ate anything today, no appetite.",2026-04-06 07:27:29,1.0,0.3,0.25,0.23
"Didn't sleep well again, mind wouldn't quiet down. Cancelled plans because I couldn't face people. Everything feels heavier than it should.",2026-04-07 18:32:36,1.0,0.39,0.16,0.21
"Couldn't shake a heavy feeling all day. Barely ate anything today, no appetite. Hoping tomorrow is even slightly easier. Barely ate anything today, no appetite.",2026-04-08 08:35:06,1.0,0.11,0.11,0.06
"Felt disconnected from everything today. Skipped work again, couldn't bring myself to go.",2026-04-09 07:26:52,1.0,0.09,0.0,0.13
"Rough start to the day, didn't want to get up. Spent most of the day in bed. Just want this feeling to stop for a while.",2026-04-10 22:41:48,1.0,0.16,0.05,0.03
