text,timestamp,sleep_hours,sleep_quality,activity_level,music_mood_score
Went to a yoga class after work. My body feels limber and relaxed.,2025-09-22 08:09:24,3.9,0.1,0.18,0.25
Got positive feedback from my manager on the quarterly review.,2025-09-02 08:28:23,6.0,0.28,0.06,0.26
Spent the night Googling my symptoms. Health anxiety is making everything worse.,2026-01-10 10:06:01,5.9,0.52,0.59,0.11
The perfectionism is destroying me. Nothing I do is ever good enough for myself.,2025-09-04 08:26:24,5.2,0.1,0.29,0.2
I snapped at a coworker for something minor. I couldn't control it.,2026-01-12 07:43:24,7.1,0.74,0.57,0.6
Spent the day at the beach. The waves and sun were exactly what I needed.,2025-11-10 10:19:30,3.2,0.47,0.17,0.06
The morning anxiety is the worst. Waking up and immediately feeling overwhelmed.,2026-02-05 08:29:06,8.2,0.61,0.61,0.34
Couldn't concentrate on anything at work. Stared at my screen for hours.,2025-11-24 12:21:27,8.0,0.0,0.27,0.28
My patience is gone. I snap at the smallest things and then hate myself for it.,2026-02-25 08:30:20,6.5,0.69,0.47,0.22
Went to a cooking class with my partner. We learned to make pasta from scratch.,2026-01-26 08:20:24,7.4,0.43,0.62,0.44
Had a good 10 minutes today where I felt normal. Then it passed.,2026-01-18 07:43:49,7.1,0.21,0.17,0.08
Went to the gym and hit a new personal record on my squat.,2025-11-14 21:04:52,6.1,0.08,0.27,0.28
Spent the day at a botanical garden. The flowers were in full bloom.,2025-11-04 20:09:45,6.4,0.74,0.28,0.35
Went to a comedy show downtown. Laughed so hard my cheeks hurt.,2026-01-15 18:59:58,5.1,0.27,0.38,0.16
Had a moment of derealization today. Everything felt unreal for about an hour.,2026-01-16 19:40:58,7.4,0.34,0.32,0.73
Went to a live music event with friends. The energy was incredible.,2025-09-12 19:41:43,6.8,0.23,0.22,0.15
Had a really good night's sleep. Woke up before my alarm feeling rested.,2025-09-26 08:14:32,3.4,0.18,0.22,0.31
Another day where getting out of bed felt like climbing a mountain.,2025-12-28 20:37:44,5.3,0.27,0.3,0.28
Went for a morning run and felt energized throughout the day.,2025-09-22 07:53:46,6.8,0.78,0.56,0.72
My inner critic never shuts up. It's louder than any external voice.,2025-12-31 07:28:46,5.0,0.34,0.22,0.14
Finished writing a short story I've been working on for months.,2025-11-27 20:06:43,7.7,0.17,0.05,0.18
I cried during my commute. In traffic. With other drivers watching.,2025-11-24 18:27:29,6.7,0.66,0.36,0.34
Went to the farmers market and picked up fresh produce for the week.,2025-09-08 21:39:56,6.4,0.5,0.46,0.37
Went for a morning swim at sunrise. The water was refreshing.,2026-03-12 21:51:50,8.8,0.82,0.57,0.66
Had a great day at the spa. My body feels completely rejuvenated.,2025-12-27 07:16:42,3.4,0.22,0.06,0.11
Spent the evening stargazing from my rooftop. The sky was crystal clear.,2026-01-29 07:22:22,3.5,0.1,0.17,0.1
Volunteered at the community center today. Helping others feels meaningful.,2026-02-05 19:05:43,7.8,0.7,0.63,0.78
Had a relaxing evening with a good book and chamomile tea.,2026-01-09 10:26:38,6.7,0.68,0.3,0.27
Went to a friend's housewarming party. The atmosphere was warm and welcoming.,2026-02-13 07:35:10,7.8,0.72,0.44,0.52
Cooked a new recipe tonight. It turned out better than expected.,2025-12-01 07:31:08,6.2,0.75,0.38,0.33
The overthinking is constant. Every interaction gets dissected for hours.,2026-01-04 10:45:53,7.8,0.8,0.54,0.36
My hands were shaking during the meeting. Nobody noticed but it terrified me.,2025-09-09 08:14:34,7.4,0.37,0.53,0.27
Woke up at 3am again. Couldn't stop thinking about everything that's wrong.,2026-01-09 07:36:07,4.5,0.45,0.18,0.41
Lost my temper with my kids again. They didn't deserve that. I feel terrible.,2026-03-14 21:28:34,5.7,0.73,0.41,0.38
Had a breakdown in the bathroom at work. Pulled myself together after 10 minutes.,2025-09-09 12:16:22,8.0,0.37,0.36,0.35
Went for a scenic drive through the countryside. The fall colors were stunning.,2025-10-24 21:37:44,6.9,0.35,0.56,0.59
Completed a creative writing workshop. The feedback was encouraging.,2025-10-23 08:51:03,3.5,0.22,0.36,0.45
Woke up with a sense of dread. No specific reason. Just dread.,2025-11-14 08:36:17,2.3,0.23,0.23,0.14
Spent the entire day in bed. The curtains are closed. I don't want to see daylight.,2026-03-12 10:58:03,6.0,0.2,0.26,0.13
Completed a 30-day fitness challenge. Feeling strong and accomplished.,2026-03-02 09:53:15,4.7,0.13,0.12,0.16
I keep checking my phone hoping for a message that will make me feel less alone.,2025-12-16 10:28:04,6.0,0.21,0.1,0.19
Had a productive day organizing my digital files and photos.,2025-12-04 12:31:20,7.5,0.08,0.45,0.38
Had a great conversation with my neighbor about community projects.,2026-02-10 20:44:22,5.9,0.13,0.42,0.16
The anxiety is louder than my own thoughts. I can't hear myself think.,2026-01-05 08:20:53,6.7,0.57,0.71,0.22
My sleep is destroyed. I fall asleep at 4am and wake up exhausted at 6.,2026-02-22 07:02:06,5.6,0.23,0.26,0.17
Had a panic attack during a Zoom call. Had to blame it on internet issues.,2025-12-26 07:27:12,8.0,0.12,0.12,0.43
Went to a community clean-up event. Making a difference felt rewarding.,2025-11-10 07:41:23,5.7,0.88,0.6,0.67
Started a new book before bed. Looking forward to continuing tomorrow.,2025-11-18 21:44:48,6.3,0.37,0.73,0.5
The isolation is comfortable but I know it's not healthy. I just can't stop.,2025-10-04 19:14:33,7.8,0.26,0.35,0.0
Called in sick again. I'm not sick. I just can't do it today.,2025-12-18 21:08:30,6.0,0.8,0.64,0.6
The social battery is completely drained after a 5-minute phone call.,2025-11-16 07:24:49,7.0,0.13,0.18,0.16
Went for a bike ride along the lake trail. The sunset was beautiful.,2026-01-23 07:39:41,6.8,0.7,0.5,0.1
Finished building a model airplane. The attention to detail was meditative.,2026-02-05 20:28:55,7.6,0.54,0.73,0.73
My confidence is completely gone. I second-guess every decision.,2025-11-29 10:20:50,7.1,0.67,0.24,0.41
The perfectionism is making me miss deadlines. I'd rather submit nothing than something imperfect.,2026-02-03 08:49:44,8.4,0.3,0.58,0.76
The fear of failure is preventing me from even starting things now.,2025-10-19 21:25:18,6.1,0.04,0.21,0.32
I can't remember the last time I felt genuinely happy. Not just pretending.,2025-11-01 12:40:38,7.3,0.58,0.39,0.63
Completed a challenging puzzle over the weekend. The satisfaction was worth it.,2025-12-09 19:26:23,6.3,0.37,0.25,0.2
The fatigue is bone-deep. It's not just being tired. It's exhaustion.,2026-01-29 07:00:16,9.4,0.39,0.37,0.6
The irritability is off the charts. Everything and everyone is annoying me.,2026-03-02 18:49:26,6.0,0.75,0.39,0.47
The muscle tension in my neck and shoulders is unbearable.,2025-09-22 08:05:32,6.4,0.24,0.13,0.34
Lost interest in the project I was passionate about. Everything feels meaningless.,2026-03-15 20:43:41,6.7,0.32,0.54,0.44
Cancelled my therapy appointment. Irony isn't lost on me.,2025-09-23 10:07:29,7.6,0.31,0.16,0.14
Finished my quilt project. The hand-stitching was surprisingly relaxing.,2025-09-04 21:08:44,6.3,0.6,0.13,0.46
Went to a morning yoga class. Starting the day this way makes a difference.,2025-11-06 07:23:08,7.2,0.11,0.39,0.37
Learned to play a new song on the guitar. Progress feels rewarding.,2025-11-25 10:17:33,6.9,0.37,0.7,0.6
Went swimming at the local pool. The exercise really cleared my head.,2025-12-02 07:31:54,4.7,0.32,0.33,0.29
Called an old friend we caught up for over an hour. Felt really good.,2026-03-05 07:14:47,8.0,0.32,0.2,0.34
Cancelled all my plans today. Just couldn't face being around people.,2025-12-08 07:11:59,8.0,0.3,0.16,0.03
The idea of going to work tomorrow makes me want to cry. I don't know how much longer I can keep this up.,2025-10-28 09:15:26,4.3,0.45,0.15,0.17
Had a great therapy session. Gained some new insights about myself.,2026-02-20 07:11:14,8.0,0.22,0.32,0.26
Everything feels overwhelming. Even answering a text feels like too much effort.,2025-11-12 08:20:05,6.5,0.25,0.11,0.16
Spent the day at a wellness retreat. Feeling completely restored.,2026-02-07 08:29:23,2.9,0.26,0.29,0.44
Had a fight with my partner over something stupid. I started it. I always start it now.,2026-03-14 08:09:00,7.4,0.27,0.08,0.06
Had a deep conversation with my partner about our future plans.,2025-09-03 09:00:48,6.9,0.09,0.32,0.29
