text,timestamp,sleep_hours,sleep_quality,activity_level,music_mood_score
Quiet evening. Read for a bit before bed.,2025-10-01,7.56,0.587,0.643,0.687
Went for a walk after lunch. Nice to get some air.,2025-10-02,7.7,0.756,0.67,0.678
Work felt manageable today. Checked off most of my tasks.,2025-10-03,7.48,0.564,0.646,0.662
Woke up tired even after what should have been enough sleep.,2025-10-04,7.64,0.448,0.544,0.724
"Felt kind of flat today. Not sad exactly, just muted.",2025-10-05,7.21,0.555,0.595,0.635
Woke up tired even after what should have been enough sleep.,2025-10-06,7.44,0.409,0.573,0.584
Skipped the gym — just didn't have it in me. Will go tomorrow.,2025-10-07,6.48,0.375,0.556,0.566
Feeling really disconnected lately. Like I'm watching myself from the outside.,2025-10-08,5.63,0.217,0.607,0.619
Third night in a row under 4 hours. Starting to feel unreal.,2025-10-09,5.46,0.267,0.642,0.513
"Can't get comfortable at night. Restless legs, racing thoughts, nothing helps.",2025-10-10,4.6,0.289,0.526,0.658
Hard to find motivation for anything today. Everything feels like effort.,2025-10-11,3.94,0.299,0.631,0.525
Barely ate today. Nothing appeals. I feel empty in every sense.,2025-10-12,3.52,0.193,0.535,0.499
Everything feels grey and distant. I go through the motions but nothing lands.,2025-10-13,3.53,0.106,0.359,0.475
The world feels muffled. Like there's a wall between me and everything else.,2025-10-14,3.3,0.082,0.438,0.544
Barely ate today. Nothing appeals. I feel empty in every sense.,2025-10-15,4.32,0.07,0.499,0.517
Quiet evening. Read for a bit before bed.,2025-10-17,8.18,0.727,0.633,0.743
"Slept okay. Nothing remarkable about today, which is fine.",2025-10-18,8.26,0.714,0.717,0.867
"Pretty standard day. Work was okay, nothing to complain about.",2025-10-19,7.98,0.643,0.663,0.687
Skipped the gym — just didn't have it in me. Will go tomorrow.,2025-10-20,7.88,0.645,0.799,0.68
Skipped the gym — just didn't have it in me. Will go tomorrow.,2025-10-21,7.52,0.538,0.635,0.748
Mind feels a bit cloudy. Hard to concentrate for long stretches.,2025-10-22,7.77,0.329,0.755,0.8
Woke up tired even after what should have been enough sleep.,2025-10-23,7.09,0.369,0.64,0.693
Feeling pretty hopeless about things. Not sure what's wrong with me.,2025-10-24,6.03,0.421,0.65,0.664
Can't seem to enjoy music the way I used to. Everything sounds hollow.,2025-10-25,4.74,0.202,0.648,0.7
Can't seem to enjoy music the way I used to. Everything sounds hollow.,2025-10-26,4.91,0.242,0.599,0.7
Another night of poor sleep. I'm exhausted but can't seem to stay under.,2025-10-27,6.16,0.163,0.516,0.693
Missed work today. Said I was sick. Technically true I suppose.,2025-10-28,4.67,0.212,0.55,0.578
I don't remember the last time I felt okay. Everything is heavy.,2025-10-29,4.64,0.175,0.55,0.62
I don't remember the last time I felt okay. Everything is heavy.,2025-10-30,4.83,0.178,0.55,0.62
I don't remember the last time I felt okay. Everything is heavy.,2025-10-31,4.33,0.127,0.55,0.551
Work felt manageable today. Checked off most of my tasks.,2025-11-02,6.93,0.652,0.502,0.657
Decent sleep last night. Feeling reasonable this morning.,2025-11-03,6.87,0.683,0.418,0.625
Quiet evening. Read for a bit before bed.,2025-11-04,7.03,0.831,0.482,0.593
Cancelled plans last minute. Just didn't feel like being around people.,2025-11-05,6.92,0.676,0.493,0.6
Felt less motivated than usual today. Had to push myself.,2025-11-06,6.84,0.515,0.442,0.577
Haven't been sleeping as well this week. Waking up in the night.,2025-11-07,6.8,0.368,0.456,0.498
Skipped the gym — just didn't have it in me. Will go tomorrow.,2025-11-08,6.6,0.3,0.381,0.556
Feeling really disconnected lately. Like I'm watching myself from the outside.,2025-11-09,5.08,0.275,0.461,0.7
Another night of poor sleep. I'm exhausted but can't seem to stay under.,2025-11-10,3.31,0.099,0.481,0.512
Another night of poor sleep. I'm exhausted but can't seem to stay under.,2025-11-11,3.26,0.276,0.417,0.474
Can't seem to enjoy music the way I used to. Everything sounds hollow.,2025-11-12,3.0,0.261,0.396,0.473
Missed work today. Said I was sick. Technically true I suppose.,2025-11-13,3.74,0.066,0.228,0.418
Sleep deprivation is making everything worse. World feels unstable.,2025-11-14,3.0,0.132,0.306,0.481
I've been crying on and off for no clear reason. Feeling very low.,2025-11-15,3.0,0.192,0.315,0.527
The world feels muffled. Like there's a wall between me and everything else.,2025-11-16,3.14,0.143,0.354,0.487
Decent sleep last night. Feeling reasonable this morning.,2025-11-18,7.22,0.773,0.592,0.663
"Slept okay. Nothing remarkable about today, which is fine.",2025-11-19,6.97,0.781,0.539,0.728
Decent sleep last night. Feeling reasonable this morning.,2025-11-20,6.99,0.58,0.588,0.579
Felt less motivated than usual today. Had to push myself.,2025-11-21,7.42,0.498,0.549,0.488
"A bit tired lately, not sure why. Probably just a busy patch.",2025-11-22,6.51,0.306,0.442,0.657
"A bit tired lately, not sure why. Probably just a busy patch.",2025-11-23,6.86,0.484,0.459,0.583
Mind feels a bit cloudy. Hard to concentrate for long stretches.,2025-11-24,6.2,0.307,0.605,0.631
Didn't eat properly again. Just not hungry. Forced myself to have something small.,2025-11-25,4.39,0.282,0.595,0.477
Can't seem to enjoy music the way I used to. Everything sounds hollow.,2025-11-26,4.11,0.206,0.46,0.567
The fatigue is relentless. Even small tasks feel enormous.,2025-11-27,4.87,0.272,0.44,0.593
Feeling pretty hopeless about things. Not sure what's wrong with me.,2025-11-28,4.4,0.265,0.434,0.475
Sleep deprivation is making everything worse. World feels unstable.,2025-11-29,3.48,0.14,0.454,0.538
I don't remember the last time I felt okay. Everything is heavy.,2025-11-30,3.62,0.093,0.479,0.512
Felt genuinely scared about how I'm feeling. This has gone on too long.,2025-12-01,4.03,0.086,0.504,0.512
Couldn't get out of bed until noon. The thought of doing anything was overwhelming.,2025-12-02,3.0,0.096,0.381,0.525
Work felt manageable today. Checked off most of my tasks.,2025-12-04,7.98,0.64,0.649,0.879
Work felt manageable today. Checked off most of my tasks.,2025-12-05,8.4,0.711,0.652,0.757
Caught up with a friend over coffee. Good to reconnect.,2025-12-06,8.01,0.608,0.635,0.65
Cancelled plans last minute. Just didn't feel like being around people.,2025-12-07,7.96,0.645,0.616,0.78
Woke up tired even after what should have been enough sleep.,2025-12-08,7.21,0.464,0.626,0.773
Mind feels a bit cloudy. Hard to concentrate for long stretches.,2025-12-09,8.27,0.501,0.646,0.647
Felt less motivated than usual today. Had to push myself.,2025-12-10,7.43,0.562,0.576,0.49
Another night of poor sleep. I'm exhausted but can't seem to stay under.,2025-12-11,7.5,0.547,0.332,0.458
Barely left the house today. Couldn't face it.,2025-12-12,7.11,0.442,0.304,0.343
"Things I used to love just feel empty now. Music, food, games — nothing lands.",2025-12-13,6.72,0.479,0.336,0.324
Withdrew from a group chat I used to enjoy. Just couldn't engage.,2025-12-14,6.99,0.2,0.339,0.188
"What's the point of any of it. I don't mean that dramatically, I just can't answer.",2025-12-15,6.42,0.202,0.152,0.146
Felt genuinely scared about how I'm feeling. This has gone on too long.,2025-12-16,6.37,0.304,0.227,0.119
I've been crying on and off for no clear reason. Feeling very low.,2025-12-17,6.5,0.19,0.29,0.08
